# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	10	1413	-					cdhC	24890592	JH146_RS00005	1404		old_locus_tag=JH146_0001
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	10	1413	-	WP_048201073.1	WP_048201073.1		CO dehydrogenase/CO-methylating acetyl-CoA synthase complex subunit beta	cdhC	24890592	JH146_RS00005	1404	467	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	1438	1893	-						24890593	JH146_RS00010	456		old_locus_tag=JH146_0002
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	1438	1893	-	WP_048201074.1	WP_048201074.1		4Fe-4S dicluster domain-containing protein		24890593	JH146_RS00010	456	151	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	1895	2335	-					cdhB	24890594	JH146_RS00015	441		old_locus_tag=JH146_0003
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	1895	2335	-	WP_048201075.1	WP_048201075.1		CO dehydrogenase/acetyl-CoA synthase complex subunit epsilon	cdhB	24890594	JH146_RS00015	441	146	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	2491	4818	-					cdhA	24890595	JH146_RS00020	2328		old_locus_tag=JH146_0004
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	2491	4818	-	WP_048201076.1	WP_048201076.1		CO dehydrogenase/acetyl-CoA synthase complex subunit alpha	cdhA	24890595	JH146_RS00020	2328	775	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	5059	7275	-					acsB	31862382	JH146_RS08510	2217		old_locus_tag=JH146_0005
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	5059	7275	-	WP_081874434.1	WP_081874434.1		acetyl-CoA decarbonylase/synthase complex subunit alpha/beta	acsB	31862382	JH146_RS08510	2217	738	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	7556	8002	-					ptr1	24890597	JH146_RS00030	447		old_locus_tag=JH146_0006
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	7556	8002	-	WP_048201077.1	WP_048201077.1		HTH-type transcriptional regulator Ptr1	ptr1	24890597	JH146_RS00030	447	148	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	8007	8513	-						24890598	JH146_RS00035	507		old_locus_tag=JH146_0007
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	8007	8513	-	WP_048201078.1	WP_048201078.1		hypothetical protein		24890598	JH146_RS00035	507	168	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	8588	8800	+						24890599	JH146_RS00040	213		old_locus_tag=JH146_0008
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	8588	8800	+	WP_048201079.1	WP_048201079.1		hypothetical protein		24890599	JH146_RS00040	213	70	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	8760	9773	+						24890600	JH146_RS00045	1014		old_locus_tag=JH146_0009
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	8760	9773	+	WP_048201080.1	WP_048201080.1		RNA-guided pseudouridylation complex pseudouridine synthase subunit Cbf5		24890600	JH146_RS00045	1014	337	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	9795	10889	+						24890601	JH146_RS00050	1095		old_locus_tag=JH146_0010
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	9795	10889	+	WP_048201081.1	WP_048201081.1		ATP-binding protein		24890601	JH146_RS00050	1095	364	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	11008	11217	+						24890602	JH146_RS00055	210		old_locus_tag=JH146_0011
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	11008	11217	+	WP_048201082.1	WP_048201082.1		ferredoxin family protein		24890602	JH146_RS00055	210	69	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	11426	12232	+						24890603	JH146_RS00060	807		old_locus_tag=JH146_0012
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	11426	12232	+	WP_048201083.1	WP_048201083.1		GTP cyclohydrolase III		24890603	JH146_RS00060	807	268	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	12242	13018	+						24890604	JH146_RS00065	777		old_locus_tag=JH146_0013
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	12242	13018	+	WP_048201084.1	WP_048201084.1		tRNA-dihydrouridine synthase		24890604	JH146_RS00065	777	258	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	13015	14193	-					hemA	24890605	JH146_RS00070	1179		old_locus_tag=JH146_0014
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	13015	14193	-	WP_048201085.1	WP_048201085.1		glutamyl-tRNA reductase	hemA	24890605	JH146_RS00070	1179	392	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	14174	14800	-						24890606	JH146_RS00075	627		old_locus_tag=JH146_0015
CDS	with_protein	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	14174	14800	-	WP_048201086.1	WP_048201086.1		bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase		24890606	JH146_RS00075	627	208	
gene	protein_coding	GCF_000739065.1	Primary Assembly	chromosome		NZ_CP009149.1	14802	16304	-						24890607	JH146_RS00080	1503		old_locus_tag=JH146_0016
